name,F,M,all,ratio,gender
Rusty,557.0,17228.0,17785,3.43172600625,M
Piper,17667.0,110.0,17777,-5.07897340582,F
Chuck,5.0,17763.0,17768,8.17543500877,M
Unknown,8983.0,8771.0,17754,-0.0238830772778,F
Issac,17.0,17725.0,17742,6.94951800734,M
Rickie,1711.0,16030.0,17741,2.23738397171,M
Amari,9101.0,8505.0,17606,-0.0677300717474,F
Gus,5.0,17595.0,17600,8.16593213732,M
Augusta,15929.0,1662.0,17591,-2.26011965088,F
Duncan,6.0,17536.0,17542,7.98025172052,M
Arline,17496.0,36.0,17532,-6.1862086239,F
Aisha,17425.0,27.0,17452,-6.46982436962,F
Walker,202.0,17247.0,17449,4.44712579689,M
Mara,17430.0,16.0,17446,-6.99335941627,F
Kelsie,17078.0,345.0,17423,-3.90200194744,F
Stefan,42.0,17379.0,17421,6.02534824148,M
Dion,1090.0,16326.0,17416,2.70658123279,M
Lorrie,17248.0,88.0,17336,-5.27811465923,F
Loraine,16988.0,340.0,17328,-3.91131687382,F
Derick,39.0,17278.0,17317,6.09362764879,M
Yasmin,17220.0,80.0,17300,-5.37180014331,F
Alanna,17247.0,7.0,17254,-7.80948334524,F
Chandra,17178.0,66.0,17244,-5.5617300323,F
Odessa,17062.0,154.0,17216,-4.70765644506,F
Sharron,16830.0,357.0,17187,-3.85318250541,F
Kirby,3325.0,13833.0,17158,1.42558736778,M
Kurtis,25.0,17113.0,17138,6.52871786271,M
Emory,2130.0,14997.0,17127,1.95172820138,M
Mauricio,6.0,17120.0,17126,7.95624318047,M
Ned,5.0,17107.0,17112,8.13780510302,M
Al,251.0,16825.0,17076,4.20516821538,M
Noemi,16978.0,69.0,17047,-5.5055671627,F
Kali,16522.0,474.0,16996,-3.55124078343,F
Esperanza,16952.0,35.0,16987,-6.18279303846,F
Devan,4897.0,12057.0,16954,0.901022631415,M
Hollis,3524.0,13412.0,16936,1.33655312053,M
Nikolas,15.0,16913.0,16928,7.02778763487,M
Jayme,13352.0,3569.0,16921,-1.31938074185,F
Ernie,712.0,16168.0,16880,3.12271134767,M
Louisa,16857.0,5.0,16862,-8.12308336735,F
Zelma,16657.0,112.0,16769,-5.00208695618,F
Juana,16670.0,88.0,16758,-5.24402916127,F
Regan,13602.0,3151.0,16753,-1.46249697798,F
Consuelo,16650.0,90.0,16740,-5.22035582508,F
Millard,33.0,16660.0,16693,6.22425835425,M
Lavern,6845.0,9807.0,16652,0.35957795767,M
Norris,523.0,16114.0,16637,3.42786227427,M
Lavonne,16399.0,217.0,16616,-4.3250782828,F
Earline,16522.0,59.0,16581,-5.63491066122,F
Nia,16560.0,10.0,16570,-7.41216033495,F
Amir,277.0,16290.0,16567,4.07428919541,M
Beatriz,16491.0,53.0,16544,-5.74027814298,F
Brooks,998.0,15543.0,16541,2.74561237917,M
Ignacio,22.0,16510.0,16532,6.62067908356,M
Marta,16483.0,46.0,16529,-5.88144342924,F
Kiley,15422.0,1086.0,16508,-2.6532938399,F
Aron,354.0,16148.0,16502,3.82025456884,M
Kiera,16456.0,19.0,16475,-6.76400645217,F
Hal,12.0,16416.0,16428,7.22110509818,M
Kermit,27.0,16365.0,16392,6.40706332093,M
Suzette,16382.0,5.0,16387,-8.09450053764,F
Pierre,73.0,16305.0,16378,5.40876764708,M
Zackery,5.0,16353.0,16358,8.0927287333,M
Galen,560.0,15795.0,16355,3.33951192951,M
Wiley,123.0,16220.0,16343,4.8818159723,M
Bart,5.0,16308.0,16313,8.08997315151,M
Martina,16263.0,40.0,16303,-6.00776841381,F
Eliana,16275.0,17.0,16292,-6.86417212302,F
Brooklynn,16260.0,19.0,16279,-6.75202440394,F
Marcel,986.0,15280.0,16266,2.74064370812,M
Thurman,5.0,16251.0,16256,8.08647181189,M
Russel,12.0,16237.0,16249,7.2101412178,M
Araceli,16105.0,138.0,16243,-4.75963137661,F
Coy,851.0,15379.0,16230,2.89434609287,M
Raphael,318.0,15871.0,16189,3.91019744073,M
Nathanael,12.0,16175.0,16187,7.20631546958,M
Reece,2368.0,13818.0,16186,1.76392637304,M
Axel,63.0,16116.0,16179,5.54443311992,M
Shea,9452.0,6726.0,16178,-0.340245746007,F
Jarvis,123.0,16011.0,16134,4.86884690963,M
Barney,91.0,16036.0,16127,5.17173196725,M
Earnestine,16064.0,61.0,16125,-5.57346215832,F
Rylan,1976.0,14146.0,16122,1.96835729929,M
Roslyn,16083.0,10.0,16093,-7.3829329995,F
Ulysses,25.0,16053.0,16078,6.46477520211,M
Camilla,16032.0,6.0,16038,-7.89058253466,F
Ashlynn,16026.0,12.0,16038,-7.19706103255,F
Efrain,29.0,15953.0,15982,6.31010634831,M
Perla,15900.0,30.0,15930,-6.27287700655,F
Althea,15921.0,5.0,15926,-8.06595635906,F
Viviana,15871.0,22.0,15893,-6.58120637015,F
Abbey,15819.0,35.0,15854,-6.11361896671,F
Liza,15828.0,14.0,15842,-7.03047847289,F
Clair,3755.0,12019.0,15774,1.16340044575,M
Magdalena,15738.0,10.0,15748,-7.3612483561,F
Irwin,12.0,15698.0,15710,7.1763819449,M
Brandie,15659.0,29.0,15688,-6.29150528056,F
Jerri,15366.0,279.0,15645,-4.00870077361,F
Jacklyn,15634.0,5.0,15639,-8.04776539635,F
Elvis,152.0,15451.0,15603,4.6215484843,M
Monroe,410.0,15180.0,15590,3.61157689125,M
Kamryn,13752.0,1836.0,15588,-2.01359497588,F
Lauryn,15559.0,12.0,15571,-7.16748787853,F
Chrystal,15510.0,5.0,15515,-8.03980234374,F
Alivia,15468.0,10.0,15478,-7.34394355973,F
Landen,135.0,15330.0,15465,4.73229219343,M
Nathalie,15403.0,6.0,15409,-7.8505581054,F
Ivory,7348.0,8057.0,15405,0.0921131114422,M
Keaton,868.0,14534.0,15402,2.81805429652,M
Casandra,15365.0,7.0,15372,-7.69393732551,F
Luann,15351.0,6.0,15357,-7.84717642825,F
Skye,13336.0,1999.0,15335,-1.89782008993,F
Ophelia,15317.0,15.0,15332,-6.92866840056,F
Marley,13082.0,2226.0,15308,-1.77103098669,F
Joesph,12.0,15264.0,15276,7.1483457439,M
Denny,395.0,14879.0,15274,3.62882033693,M
Sonny,481.0,14773.0,15254,3.42468919922,M
Fiona,15249.0,5.0,15254,-8.02283129368,F
Ryder,171.0,15074.0,15245,4.4790631279,M
Wilmer,742.0,14486.0,15228,2.97158870159,M
Ester,14325.0,892.0,15217,-2.776295409,F
Marcie,15189.0,13.0,15202,-7.06337740318,F
Keenan,312.0,14873.0,15185,3.86429957978,M
Charmaine,15152.0,20.0,15172,-6.63015554187,F
Reva,15121.0,11.0,15132,-7.22594451231,F
Nicolette,15125.0,5.0,15130,-8.01466637046,F
Rosella,15118.0,5.0,15123,-8.01420345342,F
Janell,15094.0,23.0,15117,-6.48655837692,F
Paulina,15100.0,5.0,15105,-8.01301211037,F
Elyse,15067.0,19.0,15086,-6.67582322163,F
Rosario,9774.0,5290.0,15064,-0.613907552978,F
Kaiden,854.0,14202.0,15056,2.81120688495,M
Humberto,10.0,15031.0,15041,7.31528492114,M
Lessie,14063.0,944.0,15007,-2.70117634772,F
Merlin,730.0,14271.0,15001,2.97294025096,M
Jeffry,10.0,14981.0,14991,7.31195291752,M
Javon,749.0,14162.0,14911,2.93957861669,M
Carley,14475.0,410.0,14885,-3.56402114274,F
Deja,14789.0,86.0,14875,-5.14729164391,F
Tatum,13346.0,1484.0,14830,-2.19647556974,F
Alphonso,27.0,14787.0,14814,6.30566682937,M
Merrill,1950.0,12858.0,14808,1.88613681314,M
Deanne,14792.0,5.0,14797,-7.99240386063,F
Monty,274.0,14509.0,14783,3.96939631913,M
Forest,448.0,14321.0,14769,3.46468903806,M
Mari,14752.0,5.0,14757,-7.98969603336,F
Gillian,14687.0,61.0,14748,-5.48384416358,F
Hester,14206.0,537.0,14743,-3.27542159505,F
Armand,6.0,14730.0,14736,7.80588204023,M
Jannie,14703.0,28.0,14731,-6.2636023234,F
Shayna,14715.0,5.0,14720,-7.98718474823,F
Maynard,22.0,14692.0,14714,6.50401595358,M
Sienna,14698.0,5.0,14703,-7.98602879665,F
Damion,39.0,14640.0,14679,5.92795114139,M
Octavia,14540.0,139.0,14679,-4.65018481796,F
Rhea,14237.0,408.0,14645,-3.55233231421,F
Deidre,14613.0,11.0,14624,-7.19177154968,F
Kory,1163.0,13458.0,14621,2.44857085123,M
Rosanne,14611.0,5.0,14616,-7.98009203624,F
